,data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
0,CPS2,0.0,33.0,12.0,0.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
1,CPS2,0.0,29.0,5.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
2,CPS2,0.0,41.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
3,CPS2,0.0,39.0,8.0,1.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
4,CPS2,0.0,46.0,12.0,1.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
5,CPS2,0.0,49.0,14.0,0.0,0.0,1.0,0.0,25862.32,25243.55,0.0
6,CPS2,0.0,41.0,14.0,0.0,0.0,1.0,0.0,25862.32,25243.55,16624.42
7,CPS2,0.0,49.0,18.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
8,CPS2,0.0,24.0,12.0,0.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
9,CPS2,0.0,27.0,13.0,0.0,0.0,1.0,0.0,25862.32,25243.55,0.0
10,CPS2,0.0,41.0,7.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
11,CPS2,0.0,52.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
12,CPS2,0.0,34.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,0.0
13,CPS2,0.0,45.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
14,CPS2,0.0,28.0,16.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
15,CPS2,0.0,23.0,13.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
16,CPS2,0.0,47.0,11.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
17,CPS2,0.0,28.0,12.0,0.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
18,CPS2,0.0,48.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
19,CPS2,0.0,31.0,13.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
20,CPS2,0.0,52.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,23888.93
21,CPS2,0.0,34.0,10.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
22,CPS2,0.0,54.0,14.0,0.0,0.0,1.0,0.0,25862.32,25243.55,0.0
23,CPS2,0.0,33.0,18.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
24,CPS2,0.0,38.0,18.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
25,CPS2,0.0,45.0,12.0,0.0,1.0,1.0,0.0,25862.32,25243.55,3026.384
26,CPS2,0.0,55.0,12.0,0.0,0.0,0.0,0.0,25862.32,25243.55,23454.48
27,CPS2,0.0,49.0,16.0,0.0,0.0,1.0,0.0,25862.32,25243.55,0.0
28,CPS2,0.0,47.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
29,CPS2,0.0,29.0,14.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
30,CPS2,0.0,23.0,10.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
31,CPS2,0.0,42.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,24680.99
32,CPS2,0.0,45.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
33,CPS2,0.0,37.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
34,CPS2,0.0,47.0,9.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
35,CPS2,0.0,48.0,10.0,0.0,1.0,1.0,1.0,25862.32,25243.55,25564.67
36,CPS2,0.0,49.0,16.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
37,CPS2,0.0,53.0,16.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
38,CPS2,0.0,34.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
39,CPS2,0.0,43.0,13.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
40,CPS2,0.0,35.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
41,CPS2,0.0,38.0,14.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
42,CPS2,0.0,26.0,13.0,0.0,1.0,1.0,0.0,25862.32,25243.55,25564.67
43,CPS2,0.0,37.0,14.0,0.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
44,CPS2,0.0,45.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,23492.9
45,CPS2,0.0,28.0,13.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
46,CPS2,0.0,52.0,13.0,0.0,0.0,1.0,0.0,25862.32,25243.55,0.0
47,CPS2,0.0,49.0,8.0,1.0,0.0,0.0,1.0,25862.32,25243.55,18622.31
48,CPS2,0.0,28.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
49,CPS2,0.0,50.0,8.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
50,CPS2,0.0,50.0,10.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
51,CPS2,0.0,32.0,18.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
52,CPS2,0.0,48.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
53,CPS2,0.0,44.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
54,CPS2,0.0,55.0,9.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
55,CPS2,0.0,29.0,16.0,0.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
56,CPS2,0.0,38.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,19664.11
