,recid,radate,assignmt,site,training,afdc,sex,class_tr,ojt_jsa,oth_serv,bdate,age,earnings,prevearn,married,pbhous,hsorged,black,hispanic,age2225,age2629,age3035,age3644,age4554,f2sms,wkless13
0,300001,1989-05-16,1,NE,1,0,0,0,0,1,1942-12-30,46,1353.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,1,0,1.0
1,300002,1989-08-30,1,LC,1,0,0,0,0,1,1965-06-27,24,4984.0,3591.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0
2,300006,1988-08-18,1,HF,0,0,0,1,0,0,1953-09-24,34,27707.0,0.0,1.0,0.0,1.0,0,1,0,0,1,0,0,0,1.0
3,300008,1989-03-08,1,IN,0,0,0,0,1,0,1957-07-19,31,31860.0,9476.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0.0
4,300010,1988-11-16,0,CV,0,0,0,0,1,0,1966-01-05,22,26615.0,9600.0,0.21116078,1.0,0.0,0,0,1,0,0,0,0,0,0.0
5,300012,1988-04-26,1,JK,1,0,1,0,1,0,1965-12-05,22,48541.0,200.0,0.0,1.0,1.0,1,0,1,0,0,0,0,1,1.0
6,300013,1988-10-11,1,SM,0,0,1,0,1,0,1952-09-25,36,3240.0,10000.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0
7,300014,1988-08-25,1,HF,1,0,0,1,0,0,1946-10-18,41,8385.0,0.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,1.0
8,300015,1989-02-06,1,SM,1,0,1,1,0,0,1964-06-09,24,4036.0,10339.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0
9,300016,1988-07-27,1,SM,0,0,1,0,1,0,1962-03-29,26,16419.0,5000.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0.0
10,300019,1988-12-15,1,CC,0,0,0,0,1,0,1961-04-10,27,22221.0,150.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,1.0
11,300022,1988-07-14,1,CC,0,0,0,0,1,0,1953-03-10,35,1933.0,1671.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0,1.0
12,300025,1988-01-20,0,PR,0,0,1,0,1,0,1938-12-03,49,19541.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1.0
13,300026,1989-01-31,1,LC,1,0,0,0,0,1,1948-12-18,40,25766.0,1569.0,1.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0
14,300027,1988-12-09,1,JK,1,0,1,1,0,0,1965-01-07,23,9879.0,11400.0,1.0,0.0,1.0,1,0,1,0,0,0,0,0,0.0
15,300028,1988-08-01,0,OK,0,0,1,1,0,0,1953-12-01,34,25199.0,5000.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0.0
16,300029,1988-08-19,1,HF,0,0,1,0,0,1,1963-09-09,24,5486.0,4103.911,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0.0
17,300030,1988-06-03,0,JK,0,0,0,0,1,0,1965-09-22,22,24765.0,3412.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0.0
18,300032,1989-03-16,1,MN,0,0,1,0,1,0,1957-09-03,31,29780.0,8000.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0.0
19,300033,1989-07-26,0,IN,0,0,1,0,0,1,1960-11-06,28,18888.0,12300.0,1.0,0.0,1.0,0,0,0,1,0,0,0,1,0.0
20,300034,1989-03-06,1,PR,0,0,1,0,0,1,1949-09-26,39,16773.0,4103.911,0.0,0.0,0.68767726,0,0,0,0,0,1,0,0,0.40733594
21,300035,1989-03-06,1,LC,1,0,0,0,0,1,1959-07-24,29,33390.0,7751.0,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0.0
22,300037,1988-06-13,0,CV,0,0,0,0,1,0,1962-02-12,26,12537.0,600.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0
23,300039,1988-11-04,0,IN,0,0,0,0,1,0,1960-04-11,28,48254.0,6634.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0.0
24,300040,1989-01-27,0,NE,0,1,0,0,1,0,1955-12-30,33,23686.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,1.0
25,300041,1988-02-26,1,CV,1,0,0,1,0,0,1944-10-30,43,0.0,2444.656,1.0,0.0,0.0,0,0,0,0,0,1,0,1,0.5332298
26,300044,1988-07-12,1,JK,1,0,1,1,0,0,1961-01-12,27,21035.0,4103.911,0.0,0.0,1.0,1,0,0,1,0,0,0,0,1.0
27,300047,1988-11-29,0,PR,0,0,1,0,0,1,1957-08-29,31,1184.0,4103.911,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.40733594
28,300048,1989-04-05,0,LC,0,0,0,0,0,1,1955-10-24,33,10112.0,500.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,0.0
29,300052,1988-09-08,0,IN,0,0,0,0,1,0,1959-02-16,29,33570.0,8460.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0.0
30,300054,1989-05-02,0,CI,0,0,1,0,1,0,1966-04-13,23,12301.0,2500.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.40733594
31,300055,1989-01-04,0,MT,0,0,0,0,1,0,1962-02-19,26,27676.0,8020.0,1.0,0.0,1.0,0,0,0,1,0,0,0,1,0.0
32,300057,1989-02-07,0,SM,0,0,1,0,1,0,1959-02-11,29,57676.0,13000.0,1.0,0.0,1.0,0,0,0,1,0,0,0,1,0.40733594
33,300058,1988-01-29,1,IN,1,0,0,0,1,0,1958-03-11,29,38018.0,4500.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0.0
34,300059,1988-02-10,1,PR,1,1,0,0,0,1,1961-08-24,26,3366.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1.0
35,300062,1988-11-17,1,CV,1,0,1,0,0,1,1947-08-17,41,4038.0,1000.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0.0
36,300063,1988-08-30,0,MN,1,1,0,1,0,0,1959-02-09,29,13892.0,4000.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0.0
37,300064,1988-06-09,0,JK,0,0,0,0,1,0,1958-07-08,29,14598.0,2041.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0.0
38,300066,1988-08-31,1,IN,1,1,0,0,1,0,1959-01-24,29,439.0,0.0,0.0,0.0,0.71640396,0,0,0,1,0,0,0,1,1.0
39,300070,1988-05-27,0,CC,0,0,1,0,0,1,1958-07-10,29,9794.0,4103.911,0.0,0.0,1.0,0,1,0,1,0,0,0,1,0.40733594
40,300074,1988-08-24,1,CI,1,0,1,0,1,0,1963-07-12,25,20609.0,0.0,1.0,0.0,1.0,0,0,1,0,0,0,0,1,1.0
41,300075,1989-06-30,0,NE,0,1,0,1,0,0,1966-12-29,22,37644.0,3500.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0,0.0
42,300076,1988-01-22,1,JC,0,0,1,0,1,0,1965-11-04,22,21219.0,5200.0,0.0,1.0,1.0,1,0,1,0,0,0,0,1,0.0
43,300077,1988-09-26,0,LC,0,0,0,0,0,1,1940-02-04,48,9747.0,4500.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0.0
44,300078,1989-01-04,0,IN,0,1,0,0,1,0,1938-02-21,50,0.0,154.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1.0
45,300080,1988-04-29,1,IN,0,1,0,0,0,1,1941-10-28,46,0.0,2444.656,0.0,0.0,1.0,1,0,0,0,0,0,1,0,0.5332298
46,300081,1989-04-21,1,NE,1,0,1,0,1,0,1955-08-19,33,31196.0,10000.0,1.0,0.0,1.0,1,0,0,0,1,0,0,0,0.0
47,300082,1988-12-06,0,JK,0,0,0,1,0,0,1964-04-09,24,34728.0,10000.0,0.0,0.0,1.0,1,0,1,0,0,0,0,0,0.0
48,300084,1988-06-28,0,HF,0,0,1,0,0,1,1958-05-31,30,126.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0
49,300085,1989-02-23,1,SM,1,0,1,0,1,0,1946-11-06,42,1763.0,2000.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0.0
50,300087,1989-05-17,0,PR,0,1,0,1,0,0,1967-04-20,22,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,1.0
51,300090,1988-11-17,1,CI,1,1,1,0,1,0,1936-11-20,51,3541.0,1760.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,1.0
52,300091,1988-02-18,1,JK,1,0,0,1,0,0,1960-10-25,27,7028.0,30.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,1.0
53,300092,1989-06-14,1,IN,1,0,1,0,1,0,1966-11-21,22,4506.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1.0
54,300095,1988-05-20,1,IN,1,0,1,0,1,0,1955-01-06,33,2203.0,1200.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0
55,300096,1988-05-05,0,MD,0,0,1,0,1,0,1962-06-18,25,3765.0,2948.0,1.0,0.0,0.68767726,1,0,1,0,0,0,0,0,0.0
56,300097,1988-11-23,1,CV,1,0,0,1,0,0,1959-04-27,29,5475.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,1.0
57,300098,1988-11-21,0,CV,0,1,0,0,0,1,1962-04-06,26,12394.0,0.0,0.21116078,1.0,0.0,0,0,0,1,0,0,0,1,1.0
58,300099,1988-01-07,1,MD,1,0,1,0,1,0,1950-01-05,38,8372.0,0.0,0.0,0.0,1.0,1,0,0,0,0,1,0,0,1.0
59,300101,1989-07-14,1,IN,1,0,0,0,1,0,1959-01-09,30,11018.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,1.0
60,300103,1989-03-15,0,IN,0,0,0,0,1,0,1933-11-01,55,1109.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,1.0
61,300104,1988-08-02,0,CC,0,0,1,0,1,0,1950-01-07,38,75.0,1800.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1.0
